Keys,"Українська [ua-UA]"
GUI_CHOOSE_ELEMENT_CONSUME,"Виберіть стихію для використання"
GUI_CHOOSE_ELEMENT_INFUSE,"Виберіть 1 стихію для підвищення"
GUI_CHOOSE_ITEM_TO_LOSE,"Виберіть предмет для пожертвування"
GUI_CHOOSE_OTHER_CARD,"Виберіть іншу Карту"
GUI_CITY_ENCOUNTER,"Міська подія"
GUI_CITY_ENCOUNTER_TOOLTIP,"<size=+4><color=#F3DDABFF>міська подія</color></size><br>Ви можете завершити лише одну подібну подію за один візит до Похмурої Гавані"
GUI_CITY_EVENT_BLOCKED,"<size=+2><color=#EACF8C>міська подія</color></size><br>Ви не можете почати Міську подію поки в групі є найманець з виконаною особистою метою."
GUI_CITY_EVENT_CANCEL,"Скасувати Міську подію"
GUI_CITY_QUEST_DESCRIPTION,"Завдань доступно: {0}"
GUI_CLEARTARGETS,"Очистити ЦІЛІ"
GUI_CLOSE,"Закрити"
GUI_COMBATLOG_END_ROUND,"Кінець раунду"
GUI_COMBATLOG_END_TURN,"{0}-ий хід завершено"
GUI_COMBATLOG_PLAYER_TURN,"{0}, приготуйся!"
GUI_COMBATLOG_START_ROUND,"Раунд"
GUI_COMBATLOG_START_TURN,"ходить {0}"
GUI_COMING_SOON,"Скоро..."
GUI_COMING_SOON_DLC_BUTTON,"Дізнайтеся більше"
GUI_COMMIT,"Виконати"
GUI_COMPENDIUM,"Як грати"
GUI_COMPILE,"Скласти"
GUI_COMPLETED_PERSONAL_QUEST_PROGRESS_TIP_Female,"{0} виконала перші кроки до <color=#EACF8C>виконання особистого завдання</color>. Продовжуйте, щоб дізнатися, що чекає на вас попереду."
GUI_COMPLETED_PERSONAL_QUEST_PROGRESS_TIP_Male,"{0} виконав перші кроки до <color=#EACF8C>виконання особистого завдання</color>. Продовжуйте, щоб дізнатися, що чекає на вас попереду."
GUI_COMPLETED_PERSONAL_QUEST_TIP_FEMALE,"{0} <color=#EACF8C>виконала особисте завдання</color> і більше не має причин нишпорити серед наповнених монстрами руїн"
GUI_COMPLETED_PERSONAL_QUEST_TIP_MALE,"{0} <color=#EACF8C>виконав особисте завдання</color> і більше не має причин нишпорити серед наповнених монстрами руїн"
GUI_CONDITIONS_EFFECTS,"Умови та ефекти"
GUI_CONFIRM,"Підтвердити"
GUI_CONFIRMATION,"Ви впевнені?"
GUI_CONFIRMATION_ABANDON_ADVENTURE_SCENARIO,"Ви програєте цей сценарій і повернетеся на карту. Ви збережете будь-яке зароблене золото, досвід і прогрес досягнень."
GUI_CONFIRMATION_ABANDON_SINGLE_SCENARIO,"Ви програєте цей сценарій і повернетеся в Головне меню."
GUI_CONFIRMATION_BUY,"Купити {0}"
GUI_CONFIRMATION_BUY_COST,"Ціна"
GUI_CONFIRMATION_CANCEL_ABILITY,"{0} буде спалено і всі бонуси від дії цієї карти закінчаться"
GUI_CONFIRMATION_CANCEL_DISCARD_ABILITY,"{0} буде скинуто"
GUI_CONFIRMATION_ENABLE_PERK,"Отримати {0} {1}/{2}"
GUI_CONFIRMATION_ENABLE_PERK_WARNING,"Одного разу обравши, навичку не можна прибрати"
GUI_CONFIRMATION_END_SESSION,"Повернутися в режим одного гравця"
GUI_CONFIRMATION_EXIT_GAME_MAP,"Весь прогрес буде збережено"
GUI_CONFIRMATION_EXIT_GAME_SCENARIO,"Весь прогрес, досягнутий у цьому раунді, буде втрачено."
GUI_CONFIRMATION_EXIT_GAME_TITLE,"Покинути гру"
GUI_CONFIRMATION_EXIT_SCENARIO,"Відмовитися від Сценарію"
GUI_CONFIRMATION_GUI_RESTART_TURN,"Весь прогрес, досягнутий у цьому раунді, буде втрачено."
GUI_CONFIRMATION_LEVELUP_CARD,"Додати цю карту до ваших доступних здібностей?"
GUI_CONFIRMATION_LOG_OUT_EPICSTORE,"Список друзів в EGS буде недоступний"
GUI_CONFIRMATION_LOG_OUT_EPICSTORE_TITLE,"Вийти в Epic Games"
GUI_CONFIRMATION_PARTY_LOCKED,"Ви не можете змінити найманців зараз."
GUI_CONFIRMATION_PARTY_LOCKED_TITLE,"Групу зафіксовано"
GUI_CONFIRMATION_PERK_MISSING_REMOVE_CONDITION,"Навичка заблокована"
GUI_CONFIRMATION_PERK_MISSING_REMOVE_CONDITION_WARNING,"Ця Навичка не може бути обрана, оскільки у вас немає необхідного модифікатора атаки у вашій колоді"
GUI_CONFIRMATION_RESTART_MESSAGE,"Весь прогрес поточного раунду буде втрачено. Усі найманці повернуться до фази вибору здібностей."
GUI_CONFIRMATION_RESTART_TITLE,"Перезапуск раунду"
GUI_CONFIRMATION_RETURN_MAINMENU,"Повернутися в головне меню"
