Keys,Ukrainian [uk-UA]
309_T,"Усі вороги зі станом <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> зазнають <nobr>1 шкоди.</nobr>"
310_B,"Усі союзники зі станом <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> можуть <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> до двох своїх скинутих карт."
310_T,"Один раз під час кожної вашої дії Руху ви можете зазнати 1 шкоди, щоб завдати 3 шкоди будь-якому ворогу зі станом <nobr>ОТРУЄННЯ <sprite name=Poison></nobr>."
314_T,"Якщо карта <nobr>ПРОКЛЯТТЯ <sprite name=Curse></nobr> змушує ворога не завдати шкоди під час його атаки, цей ворог зазнає <nobr>3 шкоди.</nobr>"
316_B,"Подвойте значення вашої наступної дії Атаки цього раунду."
316_T,"Під час ваших наступних шести дій Атаки накладіть <nobr>ПРОКЛЯТТЯ <sprite name=Curse></nobr> на одного союзника в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr>, щоб отримати два ефекти <nobr>ДОДАТИ ЦІЛЬ <sprite name=Target></nobr>."
317_B,"Усі вороги зі станом <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> зазнають <nobr>2 шкоди.</nobr>"
318_B_1,"Усі союзники зі станом <nobr>ОТРУЄННЯ <sprite name=Poison></nobr> зазнають <nobr>2 шкоди.</nobr>"
318_B_2,"За кожних двох травмованих союзників додайте <nobr>+1 до АТАКИ <sprite name=Attack></nobr> до всіх ваших атак цього раунду та отримайте <sprite name=XP1>."
320_B,"Якщо у вас менше здоров'я, ніж половина вашого максимального значення здоров'я (округлена в більшу сторону), отримайте <sprite name=XP1> та виконайте"
321_T,"Ви можете зазнати 2 шкоди, щоб додати <nobr>+2 до АТАКИ <sprite name=Attack></nobr> та отримати <sprite name=XP1>."
322_B,"Наступні три рази, коли ви мали б зазнати шкоди, яка знизила б ваше здоров'я до менше ніж 1, натомість <nobr>не зазнавайте шкоди.</nobr>"
322_T,"Додайте <nobr>+2 до АТАКИ <sprite name=Attack></nobr> та отримайте <sprite name=XP1>, якщо ваше поточне здоров'я менше половини вашого максимального значення здоров'я (округленого в більшу сторону)."
324_B_1,"Додайте <nobr>+1 до АТАКИ <sprite name=Attack></nobr> для всіх ваших атак."
324_B_2,"Зазнавайте 1 шкоди на початку кожного вашого ходу."
324_T,"Зазнайте шкоди в розмірі половини вашого поточного здоров'я (округленої в більшу сторону)."
325_B,"Наступні чотири рази, коли вас вилікують, додайте <nobr>+2 до ЛІКУВАННЯ <sprite name=Heal></nobr>."
326_T,"Ви можете зазнати 2 шкоди, щоб додати ОГЛУШЕННЯ <sprite name=Stun> та отримати <sprite name=XP1>."
329_B,"Ви можете вилікуватися понад максимум аж до 26 здоров'я, але ваше максимальне значення здоров'я залишається незмінним для ефектів усіх здібностей."
330_T,"Зменште ваше поточне здоров'я до 1.<br>Це не вважається шкодою."
331_B,"Ви можете зазнати 2 шкоди, щоб накласти <nobr>ОГЛУШЕННЯ <sprite name=Stun></nobr> на одного сусіднього ворога."
331_T,"Ви можете зазнати 2 шкоди, щоб отримати <nobr>ЩИТ <sprite name=Shield> 1, <sprite name=XP1></nobr>."
332_B,"Усі ближні атаки, спрямовані на вас, додають <nobr>+1 до АТАКИ <sprite name=Attack></nobr>."
332_T,"Ви можете зазнати до 3 шкоди."
333_B,"Додайте <nobr>+2 до РУХУ <sprite name=Move></nobr>, якщо ваше здоров'я менше половини вашого максимального значення здоров'я <nobr>(округленого в більшу сторону).</nobr>"
334_T,"Збільште значення кожної вашої здібності <nobr>ВІДПЛАТИ <sprite name=Retaliate></nobr> на 2 цього раунду."
335_T,"Убийте одного сусіднього звичайного ворога, чиє поточне здоров'я менше за половину різниці між вашим максимальним значенням здоров'я та вашим поточним значенням здоров'я."
336_T,"Ви можете зазнати до 4 шкоди."
337_B,"Отримайте перевагу для всіх ваших атак цього раунду. Усі атаки, спрямовані на вас, отримують ускладнення цього раунду."
337_B_1,"Отримайте перевагу на всі ваші атаки цього раунду."
337_B_2,"Усі атаки, спрямовані на вас, отримують ускладнення цього раунду."
338_B,"Додайте <nobr>+1 до АТАКИ <sprite name=Attack></nobr> до всіх ваших атак, коли ваше здоров'я менше за половину вашого максимального значення здоров'я <nobr>(округленого в більшу сторону).</nobr>"
338_T,"Отримайте <nobr>ЩИТ <sprite name=Shield> 1</nobr> та <sprite name=XP1>, якщо ваше здоров'я менше за половину вашого максимального значення здоров'я <nobr>(округленого в більшу сторону).</nobr>"
339_T,"Ви негайно стаєте виснаженим."
341_B,"Якщо ви здійсните короткий відпочинок під час свого наступного ходу, отримайте всі переваги <nobr>довгого відпочинку</nobr>."
341_T,"Ви можете зазнати 2 шкоди, щоб проігнорувати значення Щита цілі та отримати <sprite name=XP1>."
343_B,"Ви імунні до всіх негативних станів."
343_T,"Накладіть <nobr>РАНУ <sprite name=Wound></nobr> на себе та всіх сусідніх союзників, щоб додати <nobr>ПОШТОВХ <sprite name=Push> 2</nobr> та <nobr>ПАРАЛІЧ <sprite name=Immobilize>.</nobr>"
